,author,authorData,downloads,gated,id,inference,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
0,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",22370,False,jinaai/jina-embeddings-v2-base-zh,NotSupported_ExplicitOptOut,2024-07-03T15:14:29.000Z,155,feature-extraction,False,model,False,641MB | 321MB | 162MB,169869312.0,672137216.0,1,16-07-2024
1,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",3655097,False,nomic-ai/nomic-embed-text-v1,CustomCode,2024-06-05T15:02:59.000Z,413,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,2,16-07-2024
2,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",848814,False,nomic-ai/nomic-embed-text-v1.5,CustomCode,2024-06-05T15:03:49.000Z,278,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,3,16-07-2024
3,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'mixedbread ai', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1216888,False,mixedbread-ai/mxbai-embed-large-v1,Warm,2024-04-18T23:20:55.000Z,414,feature-extraction,False,model,False,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,4,16-07-2024
4,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",1820216,False,Alibaba-NLP/gte-large-en-v1.5,NotSupported_CustomCode,2024-04-26T13:51:26.000Z,130,sentence-similarity,False,model,False,1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,5,16-07-2024
5,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",85109,False,Alibaba-NLP/gte-base-en-v1.5,NotSupported_CustomCode,2024-04-26T13:53:41.000Z,30,sentence-similarity,False,model,False,556MB | 167MB | 278MB | 147MB | 174MB | 147MB | 147MB,154140672.0,583008256.0,6,16-07-2024
6,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",21742,False,Xenova/all-MiniLM-L6-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T03:11:08.000Z,44,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB | 23MB,24117248.0,94791270.4,7,16-07-2024
7,Supabase,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/63267719ff539edeea96336a/I4961jNG67wvlqZP1swzQ.png', 'fullname': 'Supabase', 'name': 'Supabase', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",235,False,Supabase/all-MiniLM-L6-v2,NotSupported_PipelineLibraryPairNotSupported,2024-03-18T18:04:18.000Z,3,feature-extraction,False,model,False,90.4MB | 45.3MB | 23MB,24117248.0,94791270.4,8,16-07-2024
8,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True, 'isMod': False}",215,False,Xenova/gte-small,NotSupported_PipelineLibraryPairNotSupported,2024-03-12T00:54:08.000Z,12,feature-extraction,False,model,False,133MB | 66.7MB | 34MB,35651584.0,139460608.0,9,16-07-2024
9,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isMod': False, 'isEnterprise': False}",20477,False,jinaai/jina-embeddings-v2-base-code,NotSupported_ExplicitOptOut,2024-04-22T08:34:12.000Z,38,feature-extraction,False,model,False,642MB | 321MB | 162MB,169869312.0,673185792.0,10,16-07-2024
