,author,authorData,downloads,gated,id,lastModified,likes,pipeline_tag,private,repoType,isLikedByUser,sizes,min_size,max_size,trending,mined_date
0,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isEnterprise': False}",6112574,False,nomic-ai/nomic-embed-text-v1.5,2024-05-11T02:11:54.000Z,201,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,1,24-05-2024
1,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'mixedbread ai', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isEnterprise': False}",2112912,False,mixedbread-ai/mxbai-embed-large-v1,2024-04-18T23:20:55.000Z,335,feature-extraction,False,model,False,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,2,24-05-2024
2,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isEnterprise': False}",341232,False,Alibaba-NLP/gte-large-en-v1.5,2024-04-26T13:51:26.000Z,73,sentence-similarity,False,model,False,1.75GB | 361MB | 873MB | 446MB | 387MB | 446MB | 446MB,378535936.0,1879048192.0,3,24-05-2024
3,nomic-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/641f01fe6d51620635e118e9/wy0ax27ok1-uHWoUAHSEs.png', 'fullname': 'Nomic AI', 'name': 'nomic-ai', 'type': 'org', 'isHf': False, 'isEnterprise': False}",130608,False,nomic-ai/nomic-embed-text-v1,2024-05-03T02:21:44.000Z,375,sentence-similarity,False,model,False,548MB | 138MB,144703488.0,574619648.0,4,24-05-2024
4,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isEnterprise': True}",10678,False,jinaai/jina-reranker-v1-turbo-en,2024-04-19T03:12:04.000Z,29,feature-extraction,False,model,False,151MB | 103MB | 75.8MB | 38.3MB | 104MB | 38.3MB | 38.3MB,40160460.8,158334976.0,5,24-05-2024
5,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isEnterprise': True}",3882,False,jinaai/jina-embeddings-v2-base-code,2024-04-22T08:34:12.000Z,24,feature-extraction,False,model,False,642MB | 321MB | 162MB,169869312.0,673185792.0,6,24-05-2024
6,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isEnterprise': True}",72909,False,jinaai/jina-embeddings-v2-base-zh,2024-04-22T14:33:21.000Z,119,feature-extraction,False,model,False,641MB | 321MB | 162MB,169869312.0,672137216.0,7,24-05-2024
7,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isEnterprise': False}",37270,False,Snowflake/snowflake-arctic-embed-l,2024-05-10T15:51:18.000Z,66,sentence-similarity,False,model,False,1.34GB | 299MB | 669MB | 337MB | 318MB | 337MB | 337MB,313524224.0,1438814044.16,8,24-05-2024
8,jinaai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/603763514de52ff951d89793/AFoybzd5lpBQXEBrQHuTt.png', 'fullname': 'Jina AI', 'name': 'jinaai', 'type': 'org', 'isHf': False, 'isEnterprise': True}",39921,False,jinaai/jina-embeddings-v2-base-de,2024-04-26T07:35:44.000Z,53,feature-extraction,False,model,False,641MB | 321MB | 162MB,169869312.0,672137216.0,9,24-05-2024
9,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",400,False,Xenova/bge-m3,2024-03-21T12:27:12.000Z,17,feature-extraction,False,model,False,607kB | 1.13GB | 570MB,621568.0,1213328261.12,10,24-05-2024
10,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isEnterprise': False}",21748,False,Snowflake/snowflake-arctic-embed-m,2024-05-10T15:49:33.000Z,70,sentence-similarity,False,model,False,436MB | 144MB | 218MB | 110MB | 149MB | 110MB | 110MB,115343360.0,457179136.0,11,24-05-2024
11,Alibaba-NLP,"{'avatarUrl': 'https://www.gravatar.com/avatar/1ae3fd9f5b9356f196c997d93eb23038?d=retro&size=100', 'fullname': 'Alibaba-NLP', 'name': 'Alibaba-NLP', 'type': 'org', 'isHf': False, 'isEnterprise': False}",137575,False,Alibaba-NLP/gte-base-en-v1.5,2024-04-26T13:53:41.000Z,11,sentence-similarity,False,model,False,556MB | 167MB | 278MB | 147MB | 174MB | 147MB | 147MB,154140672.0,583008256.0,12,24-05-2024
12,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",10,False,Xenova/paraphrase-multilingual-MiniLM-L12-v2,2024-03-12T01:21:35.000Z,8,feature-extraction,False,model,False,470MB | 235MB | 118MB,123731968.0,492830720.0,13,24-05-2024
13,Xenova,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/61b253b7ac5ecaae3d1efe0c/hwiQ0uvz3t-L5a-NtBIO6.png', 'fullname': 'Joshua', 'name': 'Xenova', 'type': 'user', 'isPro': False, 'isHf': True}",10,False,Xenova/multilingual-e5-large,2024-03-21T12:07:40.000Z,6,feature-extraction,False,model,False,546kB | 1.12GB | 562MB,559104.0,1202590842.88,14,24-05-2024
14,mixedbread-ai,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/643ee0870d1194da249bd7fe/voYdYlFgQH5vyMwyMNluZ.png', 'fullname': 'mixedbread ai', 'name': 'mixedbread-ai', 'type': 'org', 'isHf': False, 'isEnterprise': False}",9614,False,mixedbread-ai/mxbai-embed-2d-large-v1,2024-04-04T21:36:56.000Z,30,feature-extraction,False,model,False,1.34GB | 669MB | 337MB,353370112.0,1438814044.16,15,24-05-2024
15,Snowflake,"{'avatarUrl': 'https://cdn-avatars.huggingface.co/v1/production/uploads/64ba2f59a6ccf0f64b4ad254/eTDA37yFwUVP45c1WTSs2.png', 'fullname': 'Snowflake', 'name': 'Snowflake', 'type': 'org', 'isHf': False, 'isEnterprise': False}",16237,False,Snowflake/snowflake-arctic-embed-m-long,2024-05-10T15:50:08.000Z,26,sentence-similarity,False,model,False,548MB | 158MB | 274MB | 138MB | 165MB | 138MB | 138MB,144703488.0,574619648.0,16,24-05-2024
